export_id,brand,title,type,sex,volume,ean_raw,ean,stock,price,tester,shade,coverage,image_url,cdn_file,scraped_file,brasty_file
181962,Al Wataniah,Fayyad,Eau de Parfum,UNI,100 ml,5055810098704,5055810098704,30,"12,06",0,,brasty_dump,,,,in_stock/5055810098704.jpg
181963,Grandeur,Great Movement,Eau de Parfum,M,100 ml,5055810043711,5055810043711,10,"9,34",0,,brasty_dump,,,,in_stock/5055810043711.jpg
181964,Grandeur,Icon,Eau de Parfum,UNI,100 ml,5055810042929,5055810042929,23,"9,88",0,,brasty_dump,,,,in_stock/5055810042929.jpg
181965,Khadlaj,Peach Velvet,Perfume Extract,W,100 ml,6298043070034,6298043070034,5,"12,50",0,,brasty_dump,,,,out_of_stock/6298043070034.jpg
181966,Al Wataniah,Al Daiem,Eau de Parfum,UNI,75 ml,5055810056995,5055810056995,1,"19,15",0,,brasty_dump,,,,in_stock/5055810056995.jpg
181967,Al Wataniah,Al Daiem Elixir,Eau de Parfum,UNI,75 ml,5055810057008,5055810057008,6,"17,57",0,,brasty_dump,,,,in_stock/5055810057008.jpg
181969,Khadlaj,Shiyaaka Snow,Eau de Parfum,UNI,100 ml,6291107979335,6291107979335,314,"18,07",0,,brasty_dump,,,,out_of_stock/6291107979335.jpg
181970,Khadlaj,Titan,Eau de Parfum,M,100 ml,6298043070065,6298043070065,7,"16,23",0,,brasty_dump,,,,out_of_stock/6298043070065.jpg
181971,Khadlaj,Nafais Magrib,Eau de Parfum,UNI,100 ml,6298043070010,6298043070010,14,"12,45",0,,brasty_dump,,,,out_of_stock/6298043070010.jpg
181973,Grandeur,Tubbees Tres Leches,Eau de Parfum,UNI,50 ml,5055810056988,5055810056988,5,"8,66",0,,brasty_dump,,,,in_stock/5055810056988.jpg
181974,Grandeur,Tubbees Blueberry Sorbet,Eau de Parfum,UNI,50 ml,5055810056902,5055810056902,17,"6,75",0,,brasty_dump,,,,in_stock/5055810056902.jpg
181975,Grandeur,Tubbees Sweet Mango Melody,Eau de Parfum,UNI,50 ml,5055810056964,5055810056964,2,"6,76",0,,brasty_dump,,,,in_stock/5055810056964.jpg
181976,Al Wataniah,Kayaan Terra,Eau de Parfum,UNI,100 ml,5055810057817,5055810057817,3,"16,23",0,,no_image_anywhere,,,,
181977,Al Wataniah,Layali,Eau de Parfum,UNI,100 ml,5055810057282,5055810057282,18,"12,28",0,,brasty_dump,,,,in_stock/5055810057282.jpg
181978,Grandeur,Tubbees Golden Praline Bliss,Eau de Parfum,UNI,50 ml,5055810056926,5055810056926,1,"7,26",0,,brasty_dump,,,,in_stock/5055810056926.jpg
